FeatureID,FeatureName,Neutrophils Average,Neutrophils Log2 Fold Change,Neutrophils P-Value
ENSGACG00000001966,ncf2,4.362270508483462,2.2034136264536044,5.011311140205393e-19
ENSGACG00000015943,cyba,7.036333238652251,2.1043597034717103,1.699661133127678e-17
ENSGACG00000015537,cybb,6.468842398851359,2.0976372077196173,2.1372806160329398e-17
ENSGACG00000005864,gapdhs,3.9853432924453043,2.077332849874135,4.441251096074474e-17
ENSGACG00000007396,eno1a,2.9044242132686144,1.973991686081294,1.4961678355891953e-15
ENSGACG00000013555,coro1a,5.284433519429378,1.9588265731536798,2.4447498720992513e-15
ENSGACG00000001123,ENSGACG00000001123,48.918227711788425,1.947064809464158,3.535673373639987e-15
ENSGACG00000020795,pgk1,1.3693383146041755,1.937564505021612,5.106797069108615e-15
ENSGACG00000003798,rpe,1.1281694334089498,1.93620275295264,5.4334112303185734e-15
ENSGACG00000019370,capgb,2.931417098559022,1.9022626544823475,1.5640865329726584e-14
ENSGACG00000005947,sla1,1.5472250140606942,1.8353761931299868,1.346131111121081e-13
ENSGACG00000020896,rhogb,5.317419132573632,1.8259913503456298,1.732169282610185e-13
ENSGACG00000001577,ENSGACG00000001577,2.4847283839145358,1.7776700843500064,7.770645171992789e-13
ENSGACG00000020827,ncf1,5.53113414941277,1.7673616744452096,1.0483943741304727e-12
ENSGACG00000010752,cd63,3.8991145972149415,1.7674052966756295,1.0592439074957908e-12
ENSGACG00000004430,rpia,1.419866742192386,1.7483000363272247,1.939277058006287e-12
ENSGACG00000004460,fam49bb,1.6089962088618925,1.7456975401537245,2.0677431874047495e-12
ENSGACG00000014503,arpc2,2.937589096049523,1.7155965552141277,4.901591059081803e-12
ENSGACG00000018552,sh3bgrl,2.6758298165872314,1.709117274218995,5.947851153879826e-12
ENSGACG00000010111,ptpn6,1.7787645547728144,1.6518327946729656,3.188275805233303e-11
ENSGACG00000004750,cfl1l,7.328081767331874,1.6010241507463192,1.284582123980666e-10
ENSGACG00000016657,arpc1b,7.158800010434726,1.60100442023964,1.284582123980666e-10
ENSGACG00000017611,arpc3,4.204615668020702,1.5756337148830162,2.6044668243478934e-10
ENSGACG00000019990,hcls1,1.4748513007488424,1.5606937830000673,4.023433131364483e-10
ENSGACG00000017044,anxa5b,1.6466684425072335,1.5349556610040014,8.399279029805752e-10
ENSGACG00000004178,ENSGACG00000004178,1.4918819162309307,1.515496732441365,1.363072270235209e-09
ENSGACG00000004252,MYL12B,4.190299707036511,1.5091228038000815,1.5692243966702879e-09
ENSGACG00000007839,mmp25b,1.6001607767696813,1.4651392612106953,5.080813641749327e-09
ENSGACG00000013298,arhgdia,5.392507500383381,1.4565502664258845,6.090694704007731e-09
ENSGACG00000011212,ENSGACG00000011212,5.945195790186308,1.42460886176413,1.3769985384857472e-08
ENSGACG00000007959,lcp1,8.978284382675993,1.4144852923320164,1.7534929925614373e-08
ENSGACG00000001519,itgb2,2.0587837272256757,1.4051304845564576,2.2557480219606128e-08
ENSGACG00000011976,ENSGACG00000011976,2.0282822790464774,1.3797512897015152,4.170434732482718e-08
ENSGACG00000011886,rap1aa,1.1639465308953818,1.374112166219824,4.855599384479591e-08
ENSGACG00000007836,ENSGACG00000007836,41.88614572451967,1.3675295194039938,5.5101806100369285e-08
ENSGACG00000007176,ENSGACG00000007176,1.5668678442483057,1.3682782017526687,5.571044607584324e-08
ENSGACG00000008944,ENSGACG00000008944,1.589276548830001,1.3654515463406347,5.9094859728931116e-08
ENSGACG00000020358,tagln2,2.5995890011132814,1.3464476357450663,9.155673780225741e-08
ENSGACG00000011811,COX7A2,1.3733334665067405,1.2906509386153329,3.334134973091307e-07
ENSGACG00000020286,prdx5,1.9547817280185174,1.2284221657658267,1.329775242468554e-06
ENSGACG00000014908,arl6ip1,1.306721991515896,1.1623194246293926,5.322723358638962e-06
ENSGACG00000013901,zgc:92027,1.6376281308302754,1.1466179463140724,7.257449979697194e-06
ENSGACG00000015525,spi1b,1.6818052912913315,1.1432955967857348,7.802550987621108e-06
ENSGACG00000013220,tmem176l.1,2.229192321838932,1.1260631341913543,1.0996294470532019e-05
ENSGACG00000007843,ptprc,1.8442491920475506,1.1061484870433103,1.6158627176468105e-05
ENSGACG00000020333,msna,1.9722989325143796,1.0844024882921672,2.4610324746625478e-05
ENSGACG00000009846,arpc4,2.9511879784871002,1.0294898025005894,6.761354862287837e-05
