FeatureID,FeatureName,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value
ENSGACG00000016153,rpl9,15.96419008500258,0.5794278716221046,1,10.691716308121535,-0.5794278716221046,1
ENSGACG00000019181,rps15a,24.94509882149764,0.5718106766818227,1,16.795440736015575,-0.5718106766818227,1
ENSGACG00000019097,prdx2,1.2059020057244976,0.14273091388311465,1,1.0923790191017848,-0.14273091388311465,1
ENSGACG00000017861,rps6,12.95400403509797,0.37892243401490067,1,9.969205039885749,-0.37892243401490067,1
ENSGACG00000017164,rps3a,17.723545979184117,0.6024021209025956,1,11.682563003456183,-0.6024021209025956,1
ENSGACG00000016657,arpc1b,1.2831936536034043,-0.3888376165544961,1,1.6807225737881402,0.3888376165544961,1
ENSGACG00000006713,ENSGACG00000006713,1.2981189373317448,0.12749652755603458,1,1.1884721112385392,-0.12749652755603458,1
ENSGACG00000009305,atp5if1b,1.0089796397985347,-0.058361817862210064,1,1.0506782432688535,0.058361817862210064,1
ENSGACG00000009310,rpl13a,21.216823865683583,0.36522200115807824,1,16.48449799447872,-0.36522200115807824,1
ENSGACG00000011212,ENSGACG00000011212,2.846007928892863,0.0514655750805153,1,2.7477185119481407,-0.0514655750805153,1
ENSGACG00000002088,rpl36,10.990796178973742,0.13279874678003134,1,10.031756203635146,-0.13279874678003134,1
ENSGACG00000004230,RPL5,10.086674272307478,0.4158888366069511,1,7.565971197861822,-0.4158888366069511,1
ENSGACG00000007843,ptprc,1.0025069402224684,0.3374760772087286,1,0.7932212794307566,-0.3374760772087286,1
ENSGACG00000008021,uba52,10.113555012899846,0.21554931556702606,1,8.716368687687686,-0.21554931556702606,1
ENSGACG00000012793,ENSGACG00000012793,3.087249249563184,0.1569980427652009,1,2.770381977074734,-0.1569980427652009,1
ENSGACG00000014467,serbp1a,1.7373487156229106,0.5880793070704338,1,1.1558367214562453,-0.5880793070704338,1
ENSGACG00000001460,ENSGACG00000001460,1.493213717495054,0.997037598051481,1,0.7478943491775705,-0.997037598051481,1
ENSGACG00000000151,ENSGACG00000000151,1.0509379629327982,-0.6462251152585091,1,1.645367568190655,0.6462251152585091,1
ENSGACG00000002118,rpl11,10.324565019079602,0.47708949522262145,1,7.422738098261754,-0.47708949522262145,1
ENSGACG00000002182,ENSGACG00000002182,15.186019297145883,-0.05887600824582773,1,15.830883660227775,0.05887600824582773,1
ENSGACG00000002835,rps5,14.518569746743305,0.44518195551531337,1,10.671772458810134,-0.44518195551531337,1
ENSGACG00000003336,ENSGACG00000003336,16.10811246381158,0.4879965711141927,1,11.494002973602928,-0.4879965711141927,1
ENSGACG00000003628,rpl30,11.655123603698453,0.3538103671337538,1,9.127030675781551,-0.3538103671337538,1
ENSGACG00000003995,rplp1,23.352586277565056,0.5881355103149088,1,15.546230538237765,-0.5881355103149088,1
ENSGACG00000007961,rpl15,8.092321308811355,0.35506411035112695,1,6.331265617765033,-0.35506411035112695,1
ENSGACG00000008253,ENSGACG00000008253,1.2535715343670548,1.0042207397087557,1,0.6246050988889044,-1.0042207397087557,1
ENSGACG00000008265,rpl14,10.52217272966656,0.23376320774490145,1,8.954788340819444,-0.23376320774490145,1
ENSGACG00000009814,rps18,20.7150754244283,0.5674248902839278,1,13.989703753343354,-0.5674248902839278,1
ENSGACG00000002699,ENSGACG00000002699,14.29210141098777,0.23898332355356589,1,12.119514611096896,-0.23898332355356589,1
ENSGACG00000000061,cnbpa,1.1149034646256863,0.4874815340527512,1,0.7950343566408841,-0.4874815340527512,1
