"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000004536.1",118.422361603805,-2.76385661132511,0.451794714719685,-6.11750540959723,9.50515351024369e-10,9.35180370027843e-07
"ENSGACT00000003038.1",7.00748598351702,-2.12164471169173,0.351082471467212,-6.0431519204737,1.51132222393577e-09,1.39400583630275e-06
"ENSGACT00000006998.1",8.96317808267422,-4.53198886730957,0.761666706826836,-5.95009447923777,2.67987750034268e-09,2.32644895000337e-06
"ENSGACT00000013841.1",8.01007851592152,-3.39625539994583,0.574069854969267,-5.91610127329827,3.29662274293106e-09,2.70286435778758e-06
"ENSGACT00000000150.1",13.624549131162,-1.63122258201,0.278547343081692,-5.8561771365796,4.73643031842881e-09,3.32858279235107e-06
"ENSGACT00000007449.1",42.9922462781672,-2.57087434661415,0.438725573281838,-5.85986890935718,4.63232705694335e-09,3.32858279235107e-06
"ENSGACT00000025388.1",21.0531772011032,1.55456742808483,0.264763023782439,5.87154280788941,4.31758072658012e-09,3.32858279235107e-06
"ENSGACT00000003727.1",8.84214392366233,-2.56103180519447,0.438344140737386,-5.84251405958404,5.14188452887247e-09,3.44926963077727e-06
"ENSGACT00000002359.1",142.091685455439,0.727983902222061,0.125709390924517,5.79100651803479,6.99658614933677e-09,4.48937471269183e-06
"ENSGACT00000015659.1",32.7028564496773,-0.980552478263627,0.169592701189268,-5.78180824638979,7.39019175157641e-09,4.54435207790686e-06
"ENSGACT00000021289.1",4.36798272593824,-1.57189221048927,0.273502420489462,-5.74726983284535,9.06959333569457e-09,5.25361424696632e-06
"ENSGACT00000024916.1",193.640589887148,0.574744652321388,0.100062873360574,5.74383518100974,9.25558818411196e-09,5.25361424696632e-06
"ENSGACT00000015593.1",4.27231620043949,-2.35683563936101,0.412635236249662,-5.71166839938754,1.11873917440537e-08,6.11494545773126e-06
"ENSGACT00000011404.1",27.0072226908559,-2.21132620316451,0.391702222394248,-5.64542674700174,1.6477201826163e-08,8.68466230537549e-06
"ENSGACT00000001664.1",27.8451519183759,-2.48932054601518,0.451555035221129,-5.51277330967231,3.53223064764584e-08,1.79753999648129e-05
"ENSGACT00000014371.1",17.071964119759,-1.12382747739744,0.204218132685283,-5.50307390739565,3.73225865869733e-08,1.83602244283517e-05
"ENSGACT00000001574.1",30.200710603004,0.729624564098137,0.133404149569369,5.46927937739102,4.51869004430446e-08,2.15118798947888e-05
"ENSGACT00000006656.1",48.8678100921249,-1.19848819118036,0.22015757914273,-5.4437743903578,5.21632802900378e-08,2.29784995830429e-05
"ENSGACT00000007950.1",152.471201448545,1.75939180609571,0.323029235122185,5.44654048241246,5.13589183211985e-08,2.29784995830429e-05
"ENSGACT00000014231.1",38.8666579042237,0.679265869786508,0.124957361486417,5.43598121556323,5.44956962600964e-08,2.29784995830429e-05
"ENSGACT00000021229.1",367.733206294673,0.807101658512242,0.148344685160056,5.44071840282935,5.30661384729218e-08,2.29784995830429e-05
"ENSGACT00000010227.1",10.5027438645323,-2.16347407222419,0.399813794713744,-5.41120416761302,6.26023471096155e-08,2.49698767201002e-05
"ENSGACT00000011699.1",82.4245369536057,-1.34443512599068,0.248240984553999,-5.41584673621143,6.09993364763688e-08,2.49698767201002e-05
"ENSGACT00000008542.1",571.421740877532,0.443884438443597,0.0821863886828157,5.40094832681715,6.62895202760516e-08,2.51690338855695e-05
"ENSGACT00000013109.1",11.5440931733993,-1.56216935189226,0.289272095967886,-5.40034581166682,6.6512557361242e-08,2.51690338855695e-05
"ENSGACT00000001599.1",66.9366467271996,0.73586201613428,0.136824766748327,5.37813462885568,7.52615310682549e-08,2.77677418876326e-05
"ENSGACT00000008795.1",103.752416418588,0.68323829902073,0.128583254564679,5.31358691560459,1.07488131059636e-07,3.79956987932761e-05
"ENSGACT00000010573.1",36.1497632688883,0.971548655626867,0.18309917385278,5.30613347500977,1.11974978188248e-07,3.79956987932761e-05
"ENSGACT00000011579.1",14.9756881436725,-1.9812360568947,0.373535001744278,-5.30401715406325,1.13281660584371e-07,3.79956987932761e-05
