,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000001010,6.398983484,-0.418713278,0.47930706,-0.873580451,0.382346776,0.774879195
ENSGACG00000001012,38.30296333,0.079296053,0.298762485,0.265415028,0.790689761,0.954160811
ENSGACG00000001015,1.655161141,1.0137201,0.967040237,1.048270859,0.294513832,0.721830844
ENSGACG00000001022,3.258041197,-0.228309122,0.501487568,-0.455263772,0.648919486,0.90208999
ENSGACG00000001024,6.932429177,0.526201315,0.408876164,1.28694544,0.198113306,0.641360336
ENSGACG00000001026,28.08733806,0.103772632,0.265576291,0.390745089,0.695985667,0.919172212
ENSGACG00000001027,15.27062364,0.139732736,0.269422095,0.518638742,0.604012687,0.884953368
ENSGACG00000001028,1.996019734,0.312362857,0.6429263,0.485845511,0.627076704,0.892598333
ENSGACG00000001040,52.47434624,-0.049297047,0.155992831,-0.316021233,0.751986392,0.939775373
ENSGACG00000001042,105.6203188,-0.673441269,0.19697778,-3.418869226,0.000628819,0.13493365
ENSGACG00000001049,1.848854882,-0.575559435,0.774894483,-0.742758463,0.457627928,0.81425032
ENSGACG00000001051,1.396047676,-1.111279114,0.976065259,-1.138529524,0.254899438,0.690937363
ENSGACG00000001052,2.31630798,1.924492472,1.791798581,1.074056254,0.28279747,0.714474463
ENSGACG00000001056,7.98472104,1.216633376,1.085072978,1.121245669,0.262183305,0.697896343
ENSGACG00000001058,7.554090897,-0.073616408,0.335681236,-0.219304508,0.82641285,0.963327354
ENSGACG00000001059,48.51133927,0.001608929,0.193773305,0.008303152,0.99337512,0.999180453
ENSGACG00000001063,20.26030055,0.12281732,0.215902014,0.56885676,0.569453352,0.867142629
ENSGACG00000001064,2.624656989,-1.02203534,1.016130137,-1.005811463,0.314506272,0.735139673
ENSGACG00000001066,308.028249,0.005503624,0.092694753,0.059373631,0.952654515,0.990720331
ENSGACG00000001068,5.692731201,-0.354425647,0.572334544,-0.619263071,0.535743068,0.856753576
ENSGACG00000001070,2.496098783,0.48064293,0.735780848,0.653241969,0.513600297,0.847389009
ENSGACG00000001071,15.60854068,-0.139639595,0.367131672,-0.380352896,0.703683475,0.920624676
ENSGACG00000001072,276.5545205,0.307485415,0.184369493,1.667767315,0.095361927,0.521323382
ENSGACG00000001073,1.500361765,0.319016339,0.978762303,0.325938522,0.744470869,0.937172455
ENSGACG00000001074,17.24461462,0.512405031,0.3122389,1.641067245,0.100783457,0.534699543
ENSGACG00000001075,6.949119206,-0.123928649,0.401851491,-0.308394151,0.757782432,0.941840635
ENSGACG00000001076,2.361158113,0.719655988,0.719301938,1.000492214,0.317072364,0.736203157
ENSGACG00000001079,1.956173362,0.038743286,0.74266113,0.052168189,0.95839468,0.991382853
ENSGACG00000001080,93.01995711,0.853517832,0.33294124,2.56356897,0.010360211,0.273864074
ENSGACG00000001081,212.076729,-0.188755724,0.181828182,-1.038099383,0.299223789,0.7262394
ENSGACG00000001082,206.9364294,0.09057389,0.200837387,0.450981222,0.652003083,0.902249823
ENSGACG00000001088,44.4050301,0.470406926,0.219834893,2.139819204,0.032369381,0.384363308
ENSGACG00000001089,13.90079788,-0.402292125,0.547807419,-0.734367793,0.462724611,0.817055959
ENSGACG00000001090,114.5086266,-0.581297491,0.170537995,-3.408609864,0.000652948,0.13493365
ENSGACG00000001091,3.926362983,-2.708771944,0.951810769,-2.84591437,0.00442841,0.211301257
ENSGACG00000001093,90.53732775,-0.27191303,0.229643675,-1.184064964,0.236387348,0.677464451
ENSGACG00000001094,15.63243847,0.165436278,0.298335963,0.554530122,0.579216097,0.871642562
ENSGACG00000001095,13.58046411,0.06074714,0.429799646,0.141338274,0.887602715,0.976535069
ENSGACG00000001097,28.59964269,-0.389597246,0.2650842,-1.469711308,0.141639959,0.586671521
ENSGACG00000001098,7.05959467,0.512395485,0.349721849,1.465151481,0.142879594,0.588320356
ENSGACG00000001100,103.2585709,-0.180131533,0.135417271,-1.330196149,0.183453653,0.624778726
ENSGACG00000001102,4.228545616,0.127186762,0.530550477,0.239726035,0.81054265,0.958576682
ENSGACG00000001103,17.69355997,-0.104754095,0.268648548,-0.389929878,0.6965884,0.919172212
ENSGACG00000001107,12.62862451,0.83927398,0.650678754,1.289843837,0.197104884,0.640713723
ENSGACG00000001108,1067.436204,-0.003857383,0.132048581,-0.029211848,0.976695632,0.993838646
ENSGACG00000001109,30.77617614,-0.499214173,0.368871485,-1.353355281,0.175942156,0.617126828
ENSGACG00000001112,89.60118039,0.00010621,0.125519725,0.000846164,0.999324859,0.99995622
ENSGACG00000001113,14.24637144,0.650039471,0.449545755,1.44599179,0.148179504,0.594146271
ENSGACG00000001116,15.98461829,-0.010601336,0.24626932,-0.043047732,0.965663484,0.991848369
ENSGACG00000001120,65.24608357,0.055611493,0.135710651,0.40977987,0.681967434,0.913697081
ENSGACG00000001123,3711.571648,0.411905564,0.197875758,2.081637327,0.037375609,0.394383594
ENSGACG00000001124,3.64666601,0.411835085,0.634421527,0.649150552,0.51624107,0.848190636
ENSGACG00000001125,81.48975856,0.263845737,0.146474539,1.801307849,0.071654371,0.475228589
ENSGACG00000001126,11.43253979,-0.038313137,0.378760241,-0.101154062,0.919428163,0.982632285
ENSGACG00000001131,3.424860623,-0.479570783,0.536302518,-0.894216915,0.371205844,0.770087455
ENSGACG00000001134,2.316286477,-0.70481239,0.684174343,-1.030164896,0.302932605,0.728599595
ENSGACG00000001138,2.057195756,-0.488640685,0.661368688,-0.738832505,0.460008711,0.815831954
ENSGACG00000001139,17.43515711,-0.039610775,0.216568471,-0.182901853,0.854875029,0.969325449
ENSGACG00000001140,1.225293164,-0.072460581,1.036431806,-0.069913506,0.944262503,0.986771256
ENSGACG00000001143,24.9389331,-0.027838993,0.233722005,-0.119111563,0.90518697,0.979914086
ENSGACG00000001144,113.9253204,0.124514564,0.140593314,0.885636451,0.375813463,0.771648144
ENSGACG00000001147,300.2232338,-0.265800322,0.157710525,-1.685368316,0.091917533,0.516079831
ENSGACG00000001148,2.14627973,-0.631910605,0.659383839,-0.958334989,0.337893866,0.750697495
ENSGACG00000001150,2.852820835,-1.555667976,0.86274946,-1.803151493,0.071364426,0.474903915
ENSGACG00000001152,1.013569025,-0.949714426,0.967529337,-0.981587214,0.326303249,0.745024795
ENSGACG00000001156,48.06740711,-0.25374669,0.162598782,-1.560569439,0.118625374,0.563240319
ENSGACG00000001158,15.73972623,0.16689601,0.236214015,0.706545754,0.47984881,0.825914136
ENSGACG00000001160,2.031232998,0.507707634,0.659114981,0.770286899,0.441129726,0.807298944
ENSGACG00000001164,13.3798041,0.242323867,0.573514561,0.42252435,0.672642331,0.910743454
ENSGACG00000001166,2.584516125,-0.336893519,0.918277273,-0.366875593,0.713711818,0.924575411
ENSGACG00000001169,22.72023886,-0.575931903,0.270804771,-2.12674208,0.033441519,0.385429932
ENSGACG00000001170,37.17246945,0.108300962,0.182500519,0.593428243,0.552894592,0.860381972
ENSGACG00000001171,2.639292164,0.585738977,0.584000038,1.002977635,0.315871652,0.735760424
ENSGACG00000001173,74.19189746,-0.127711214,0.296418139,-0.430848174,0.666578769,0.907585741
ENSGACG00000001176,122.5599664,0.020363688,0.192195484,0.105953001,0.915619642,0.982354186
ENSGACG00000001178,3.837522489,0.192811518,0.507669417,0.379797387,0.704095822,0.920725043
ENSGACG00000001180,8.640384379,0.827908539,0.365943851,2.262392267,0.023673178,0.348356738
ENSGACG00000001181,1.039767749,0.017211606,0.991640545,0.017356698,0.986152054,0.996387784
ENSGACG00000001182,7.426274634,-0.130858362,0.489998392,-0.267058757,0.789423921,0.953513583
ENSGACG00000001183,39.18383058,0.27932084,0.259843547,1.074957771,0.282393635,0.714474463
ENSGACG00000001185,15.32486405,0.306736438,0.274665597,1.116763224,0.264095577,0.699305759
ENSGACG00000001186,46.35570036,-0.462725004,0.186141937,-2.48587186,0.012923449,0.285443712
ENSGACG00000001188,15.87223013,0.910555393,0.28448291,3.200738461,0.001370759,0.144296285
ENSGACG00000001189,85.32628277,0.117989939,0.154737465,0.762516942,0.445751535,0.81003786
ENSGACG00000001197,15.22517142,-0.097278876,0.272054446,-0.357571352,0.720664121,0.926936038
ENSGACG00000001204,26.2662998,-0.093294599,0.261928994,-0.356182785,0.721703683,0.927143954
ENSGACG00000001206,206.9477312,-0.336009921,0.144765463,-2.321064111,0.020283384,0.335695567
ENSGACG00000001208,4.716538294,-0.935643957,0.545160492,-1.716272493,0.08611218,0.506874883
ENSGACG00000001210,12.67438889,0.112929176,0.290427759,0.388837405,0.697396429,0.919172212
ENSGACG00000001212,4.315876698,-1.359768405,0.646016939,-2.104849458,0.035304414,0.390245254
ENSGACG00000001224,133.63605,-0.197933664,0.169057486,-1.170806863,0.241676418,0.680825826
ENSGACG00000001232,132.4969685,0.201603782,0.173747763,1.160324474,0.245916724,0.685150393
ENSGACG00000001234,21.69749339,0.30864576,0.285658782,1.080470054,0.279932915,0.711663207
ENSGACG00000001235,26.49807402,0.206453918,0.218725467,0.943895197,0.345223207,0.754445466
ENSGACG00000001238,38.37538363,0.336809399,0.177420681,1.898366051,0.057647878,0.450678967
ENSGACG00000001239,155.1931802,-0.817177339,0.515771734,-1.584377904,0.113107747,0.55446923
ENSGACG00000001242,3.502422876,-0.578009378,0.856399955,-0.674929248,0.499720717,0.838383052
ENSGACG00000001247,16.75927896,-0.145402403,0.282469617,-0.514754133,0.60672484,0.885916126
ENSGACG00000001248,11.95068402,0.154567681,0.312861975,0.494044316,0.621274882,0.891110273
ENSGACG00000001254,103.6270985,0.246586141,0.175207338,1.407396198,0.159309938,0.604731789
ENSGACG00000001260,1.675442883,0.058851075,0.828049628,0.071071918,0.943340518,0.986720013
