FeatureID,FeatureName,Natural Killer Cells Average,Natural Killer Cells Log2 Fold Change,Natural Killer Cells P-Value
ENSGACG00000005778,dap1b,1.1796882965161597,0.2462869438934535,1
ENSGACG00000006855,tpt1,4.585764452372499,0.05575144683420419,1
ENSGACG00000000825,PDCL3,2.0182996054454194,0.19358926613129757,1
ENSGACG00000018720,rps4x,5.9500724027201,0.16822474293311673,1
ENSGACG00000019593,rpl34,14.171905291569463,0.13502121959883384,1
ENSGACG00000020072,eif4a1b,2.044897352183847,0.02154942238621027,1
ENSGACG00000020086,ENSGACG00000020086,3.025884834830574,0.6770149372634799,1
ENSGACG00000020257,ubb,2.9398333012650717,0.208092069962188,1
ENSGACG00000020333,msna,1.6177688310314446,0.25048148344649,1
ENSGACG00000020625,rpl23a,10.351217201261157,0.03193704444450951,1
ENSGACG00000020692,ENSGACG00000020692,8.583249329824472,0.10794153771701476,1
ENSGACG00000020906,rps14,19.300576692073403,0.09929571954806082,1
ENSGACG00000016901,ENSGACG00000016901,1.706949511272056,0.8100840875959767,1
ENSGACG00000017440,rpl39,10.983304829633212,0.027909236987377017,1
ENSGACG00000017482,rpl36a,15.76620552253759,0.18468367648658024,1
ENSGACG00000017702,eef1g,5.702869815386475,0.040331210973302056,1
ENSGACG00000018439,rpl26,12.935892354901338,0.16327306580135614,1
ENSGACG00000019287,ENSGACG00000019287,3.069692888282103,0.456771604614425,1
ENSGACG00000019282,ENSGACG00000019282,15.39853078821226,0.7361136172468821,1
ENSGACG00000019805,btg1,2.6097083270410537,1.2814388377781274,1
ENSGACG00000019990,hcls1,1.1781237231786053,0.38651540387606,1
ENSGACG00000020009,rps16,8.628621956613555,0.08497367211673179,1
ENSGACG00000000590,rpl18a,9.31859879847513,0.08856079408076845,1
ENSGACG00000011913,rps7,14.538015452557238,0.055887623769192984,1
ENSGACG00000012791,faua,11.319688097207449,0.13087303746866663,1
ENSGACG00000012858,rps29,5.2162875074069985,0.058138366320496626,1
ENSGACG00000013530,hsp90ab1,8.195235142110935,0.054684286550198635,1
ENSGACG00000020929,mt-nd2,5.080169627039749,0.09166149136616664,1
ENSGACG00000020935,mt-co1,15.339077001385187,0.2945911904690375,1
ENSGACG00000020938,mt-co2,66.09540064499359,0.178686497929621,1
ENSGACG00000020942,mt-co3,26.1017769904232,0.11938146351430756,1
ENSGACG00000020946,mt-nd4l,3.6407621564895276,0.01790142326235733,1
ENSGACG00000020954,mt-cyb,14.131226384793043,0.14775468940370695,1
ENSGACG00000001940,RPS20,12.99065242171575,0.03621176320324393,1
ENSGACG00000002767,rpl7,18.39625330296685,0.2122353070510945,1
