"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000008983","ENSGACG00000008983","HC","ENSGACT00000011885.1",-0.336042991359261
"ENSGACG00000009066","tcp1","HC","ENSGACT00000012165.1",-0.751771715753514
"ENSGACG00000009211","ENSGACG00000009211","RBC","ENSGACT00000012174.1",-0.700471786995663
"ENSGACG00000009214","cpa1","Neutrophil","ENSGACT00000012292.1",-0.777145940070854
"ENSGACG00000009225","ENSGACG00000009225","HC","ENSGACT00000012198.1",-0.231134960739662
"ENSGACG00000009280","ENSGACG00000009280","HC","ENSGACT00000012275.1",-0.407101290459138
"ENSGACG00000009305","atp5if1b","Neutrophil","ENSGACT00000012293.1",-0.5685158307417
"ENSGACG00000009519","ENSGACG00000009519","Bcell","ENSGACT00000012569.1",1.09789723340197
"ENSGACG00000009620","ctsl.1","APC","ENSGACT00000012750.1",0.395730155290625
"ENSGACG00000009622","slc4a1a","RBC","ENSGACT00000012741.1",-0.814924813586573
"ENSGACG00000009814","rps18","Bcell","ENSGACT00000012997.1",-0.334343960908055
"ENSGACG00000009964","tktb","Neutrophil","ENSGACT00000013310.1",-0.451976795859477
"ENSGACG00000010080","cct3","HC","ENSGACT00000013633.1",-0.552159165261269
"ENSGACG00000010111","ptpn6","Neutrophil","ENSGACT00000013387.1",-0.74962711020806
"ENSGACG00000010218","gata1a","Platelet","ENSGACT00000013519.1",-1.35020515811835
"ENSGACG00000010458","BRK1","Neutrophil","ENSGACT00000013855.1",-0.360213845453536
"ENSGACG00000011445","proza","Fibroblast","ENSGACT00000015194.1",1.70739288482986
"ENSGACG00000011456","ada","RBC","ENSGACT00000015197.1",-0.384122032695671
"ENSGACG00000011546","anxa1a","Fibroblast","ENSGACT00000015295.1",0.484419025798007
"ENSGACG00000011547","rpl18","Bcell","ENSGACT00000015335.1",-1.46759042667154
"ENSGACG00000011558","rps27a","Bcell","ENSGACT00000015313.1",0.261531321385013
"ENSGACG00000011650","tegt","Neutrophil","ENSGACT00000015469.1",-0.265636541802693
"ENSGACG00000011811","COX7A2","Neutrophil","ENSGACT00000015654.1",-0.386443547141159
"ENSGACG00000011886","rap1aa","Neutrophil","ENSGACT00000015777.1",-0.195451278863499
"ENSGACG00000011970","ENSGACG00000011970","Fibroblast","ENSGACT00000015875.1",0.417076602928883
