SampleID,Gosling,Roberts,GG12,GG13,GG15,GG16,GG17,GG22,GG32,GG42,GG47,GG49,GG8,RR10,RR12,RR13,RR15,RR18,RR30,RR44,RR52,Control,Exposed,Infected,Echo,UBC,Gos,Male,Female,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,A_Freq.Gran,A_Freq.Lymph,P_Gadj_MFI
RR30C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,NA,NA,2.135,1.92,55.83,21.9,75.7,1935872
RR30E1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0.1,0.1,1.998,1.94,53.44,31,61.1,1634455
RR30E2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,NA,NA,3.408,1.81,52.83,40.3,56.9,1016961
RR3OE3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,NA,NA,1.188,2.08,55.89,23.1,71.9,1493029
RR44C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,NA,NA,1.944,1.61,51.89,16.5,73,2091070
RR44C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,NA,NA,1.728,1.91,55.67,15.2,74.5,1582166
RR44E1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0.1,0.1,5.2756,2.9,52.14,47.6,45.2,1302160
RR44E3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0.1,0.2,6.2348,2.27,57.26,30.5,65.3,1483332
RR44E4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,NA,NA,2.622,1.5,53.46,19.8,71.8,1131044
RR44E5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,NA,NA,4.186,1.94,56,24.4,71.1,1151793
RR52C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,NA,NA,0.558,1.46,49.18,28.8,60.4,872282
RR52C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,NA,NA,1.479,1.69,48.47,13.4,81.3,877950
RR52E1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,NA,NA,2.08,1.82,54.89,18.6,79.8,1573290
RR52E2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,NA,NA,0.78,1.91,55.57,27.4,60.7,1180895
RR52E4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,0.1,0.5,1.0816,1.21,48.5,27,60.6,936944
