Date,exposed,n_worm_exp,Worm,Pop,Family,Name,RNAseq,FishID,Sex,worm_present,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,Freq Gran,Freq Lymph,Gran1,Gran2,Gran3,Gran4,Lobed_Gran,Lymph1,Lymph2,Lymph3,Lymph4,ISlymph,ISprecur,ISmyeloid,ISeos,Gran_bead1,Gran_ bead2,Gran_bead3,Lymph_bead1,Lymph_bead2,Lymph_bead3,A_Freq Gran,A_Freq Lymph,ROS1,ROS2,ROS3,ROS4,PMAhi,PMAlow,MFI_DHR,avg_spots_per_area,average_spot_size,avg_freq_pigmented,avg_CV,lymph,precursor,myeloid,eosinophil,BG_ROS_L,BG_ROS_G,PMA_ROS_L,PMA_ROS_G,BG_Lhi_MFI,BG_Llow_MFI,BG_Ladj_MFI,BG_Ghi_MFI,BG_Glo_MFI,BG_Gadj_MFI,P_Lhi_MFI,P_Llo_MFI,P_Ladj_MFI,P_Ghi_MFI,P_Glo_MFI,P_Gadj_MFI,NOTES
1/23/2014,T,4,Gos,GG,GG16,E3,Yes,GG16E3,M,F,0,NA,NA,7.722,1.78,54.7,60.9331,37.4652,24.4571,43.8857,19.7714,11.8857,75.5428,60.9665,25.6506,8.5502,4.8327,29.1293,7.5544,50.6402,0.9603,NA,NA,NA,NA,NA,NA,32,62.4,7.3,18.3,4.58,62.3,25.1,69.1,,0.000516442,147.3684,7.299241046,0.407112001,52.7,8.52,20.6,0.5,2.71,30.2,6.41,69.9,956000,22671,933329,452000,90868,361132,1610000,21744,1588256,1230000,84146,1145854,
1/23/2014,T,4,Gos,GG,GG16,E4,Yes,GG16E4,F,T,3,9.7,29.1,5.375,2.555,66.74,46.7656,51.8558,35.2608,34.9206,19.9546,9.8639,64.7391,45.092,39.8773,5.5215,9.5092,46.673,8.1749,30.3707,0.2376,NA,NA,NA,NA,NA,NA,35.1,58,4.72,29,0.3,55.5,21.4,73.7,,0.000589807,111.7958,5.09018906,0.451165512,41.9,15.9,16.1,0.89,0.36,11.1,7.02,52.2,562000,35906,526094,344229,77922,266307,746000,42597,703403,754000,68237,685763,
5/22/2014,F,0,UBC,GG,GG17,C1,Yes,GG17C1,F,F,0,NA,NA,3.358,1.99,59,23.346,74.8289,36.1564,36.1564,17.9153,9.772,63.8437,57.4187,31.5041,5.3862,5.6911,66.7681,5.019,17.3384,0.9886,9.79,1.14,0.53,5.71,0.52,0.08,32.3,66.2,6.04,23.7,0.14,59.1,48.6,47.2,,,,,,50.8,4.31,26.9,0.4,0.64,19.3,29.6,93.1,362784,40970,321814,261082,87915,173167,1130000,27295,1102705,525000,72638,452362,Media contaminated
5/22/2014,F,0,UBC,GG,GG17,C2,Yes,GG17C2,M,F,0,NA,NA,3.996,2.63,60.13,33.0063,63.854,33.5315,41.0226,15.22,10.2259,66.4685,55.4395,33.0055,5.6546,5.9004,51.8053,7.5353,26.5306,0.9027,10.5,1.42,0.53,5.35,0.44,0.097,31.1,65.8,5.1,25.4,0.2,54.8,30.9,63.5,,,,,,45.8,6.95,23.6,0.98,0.68,16,9.56,78.3,365743,26964,338779,254796,75037,179759,1240000,28311,1211689,615000,64567,550433,Media contaminated
5/22/2014,T,5,UBC,GG,GG17,E1,Yes,GG17E1,M,F,0,NA,NA,4.316,2.81,60.09,41.1417,56.2205,28.6124,44.1148,16.9378,10.3349,71.3875,55.042,32.9832,5.6723,6.3025,44.6063,7.9921,33.2283,0.9055,11.6,2.25,1.2,5.34,0.31,0.094,36.4,59.6,4.69,24.9,0.19,53.4,28.4,61.9,,,,,,39.7,7.23,28.8,0.83,0.65,14.4,10.6,77.4,371733,17603,354130,257920,69183,188737,709000,17460,691540,659000,64306,594694,Media contaminated
5/22/2014,T,5,UBC,GG,GG17,E3,Yes,GG17E3,F,F,0,NA,NA,6.96,3.04,64.99,34.8247,63.6728,37.9674,41.2272,12.2723,8.5331,62.0326,58.9932,27.8972,7.1841,5.9255,55.025,5.6093,28.5142,1.3022,9.53,1.4,0.79,5.68,0.53,0.13,31.8,66,5.38,25,0.27,56.6,39.4,56.2,,,,,,49.8,5,25.4,0.79,0.53,17.7,17.8,89.4,391887,25681,366206,270801,64830,205971,1430000,22552,1407448,788000,69464,718536,Media contaminated
5/22/2014,T,5,UBC,GG,GG17,E4,Yes,GG17E4,M,T,1,112.9,112.9,7.888,2.61,61.64,40.7929,57.4657,35.604,43.5059,13.1698,7.7203,64.396,50.2257,36.3636,6.7698,6.6409,49.9815,5.1871,34.3831,1.4079,10,1.6,0.86,5.13,0.39,0.083,33.9,64,5.51,28.4,0.16,54.2,47,47.4,,,,,,46.8,7.53,28.1,0.45,0.56,16.7,30.8,85.4,368726,31464,337262,264282,75957,188325,1840000,25063,1814937,684000,82384,601616,Media contaminated
1/2/2014,F,0,Gos,GG,GG22,C1,Yes,GG22C1,F,F,0,NA,NA,1.536,1.485,58.87,72.9927,24.8175,43.6667,36.1667,12.6667,7.5,56.3334,64.7059,21.5686,6.8627,6.8627,10.6886,6.8859,63.1038,2.3638,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2014,F,0,Gos,GG,GG22,C2,Yes,GG22C2,F,F,0,NA,NA,2.4318,1.825,59.36,80.5508,15.5479,49.7151,32.5499,12.3219,5.4131,50.2849,69.3727,14.3911,7.3801,8.8561,6.848,5.4395,72.0253,1.457,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2014,T,5,Gos,GG,GG22,E3,Yes,GG22E3,M,F,0,NA,NA,3.6556,2.398,60.71,68.2319,29.913,39.1674,35.2591,16.6525,8.921,60.8326,66.6667,19.186,10.0775,4.0698,16.7403,8.4929,59.5484,2.2582,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
