FeatureID,FeatureName,Platelets Average,Platelets Log2 Fold Change,Platelets P-Value
ENSGACG00000013901,zgc:92027,1.2335971335850688,0.15126379458615435,0.9290363274946932
ENSGACG00000014899,gpd1c,1.0021437791798864,1.466397927308102,0.9290363274946932
ENSGACG00000015892,nsa2,1.3690219686093779,0.10571248214495943,0.9290363274946932
ENSGACG00000005975,ENSGACG00000005975,1.967353512444052,0.5310904330118805,0.9290363274946932
ENSGACG00000009661,NDUFA4,1.8639381838800342,0.2002682627370097,0.9290363274946932
ENSGACG00000014908,arl6ip1,1.536456310093978,0.8031326785768305,0.9290363274946932
ENSGACG00000010457,ENSGACG00000010457,1.8196173287811694,0.09224166219073138,0.9294709095244738
ENSGACG00000014576,ENSGACG00000014576,32.13754448613238,0.9466373380722279,0.9298384761810924
ENSGACG00000007843,ptprc,1.2976161465056513,0.03621683986411828,0.9315182543737255
ENSGACG00000020257,ubb,4.803888238771396,0.9192532761097438,0.9315182543737255
ENSGACG00000004968,rpl4,1.8934854206126108,0.022927490335961087,0.9330196330193008
ENSGACG00000014618,h2afva,2.582920944372729,0.8286667923305399,0.940057465409792
ENSGACG00000019287,ENSGACG00000019287,3.9150088670663865,0.8075929471066379,0.9445102670340002
ENSGACG00000007836,ENSGACG00000007836,43.58217418055034,0.7000054287678887,0.9714778656663992
ENSGACG00000020935,mt-co1,19.772025913549108,0.6609760002567913,0.9844715013531192
ENSGACG00000001123,ENSGACG00000001123,42.66620984184047,0.6251246223610609,0.9964788225923606
ENSGACG00000001108,ENSGACG00000001108,5.537644617630379,0.14510398960088589,1
ENSGACG00000016593,actb1,5.8405037941392886,0.09863138061647136,1
ENSGACG00000008021,uba52,8.753368882025788,0.023523266357663886,1
ENSGACG00000002182,ENSGACG00000002182,17.206340857270384,0.13262064725346345,1
ENSGACG00000002835,rps5,12.193159691643237,0.023452653718699867,1
ENSGACG00000003336,ENSGACG00000003336,13.719766922826356,0.11869747039584677,1
ENSGACG00000008265,rpl14,8.736132993931784,0.03167927877773513,1
ENSGACG00000013073,rpl10,8.950350460242966,0.009494553096466074,1
ENSGACG00000017028,ENSGACG00000017028,2.9670350218962236,0.29004700602243116,1
ENSGACG00000007989,itm2bb,3.4693380463500243,0.3855247417054326,1
ENSGACG00000020072,eif4a1b,2.3169958137795406,0.20169836635985883,1
ENSGACG00000012791,faua,11.117147820631908,0.10318606796973473,1
ENSGACG00000013530,hsp90ab1,8.950350460242966,0.18112587444344408,1
ENSGACG00000020925,mt-nd1,5.650909025105256,0.3541866254109549,1
ENSGACG00000020929,mt-nd2,6.278787805672506,0.3974291735751856,1
ENSGACG00000020938,mt-co2,75.34052912861465,0.3667935663354278,1
ENSGACG00000020940,ENSGACG00000020940,16.72866053009373,0.18002638378322278,1
ENSGACG00000020942,mt-co3,31.16248567395735,0.3747787763129473,1
ENSGACG00000020946,mt-nd4l,4.946699882978849,0.46115059431816774,1
