FeatureID,FeatureName,Cluster 04 Average,Cluster 04 Log2 Fold Change,Cluster 04 P-Value
ENSGACG00000012793,ENSGACG00000012793,3.205889665419362,0.1171761968259597,0.9558678973195466
ENSGACG00000017191,eef1da,1.592061054971137,0.11561752923180102,0.9599486754728206
ENSGACG00000003568,ENSGACG00000003568,1.1770749522288189,0.11387666280450714,0.9625600384852269
ENSGACG00000000860,ENSGACG00000000860,8.151612914486792,0.10933768909741737,0.9707808434500746
maker-chrY-augustus-gene-11.16,maker-chrY-augustus-gene-11.16,2.213390119168943,0.10892967110691343,0.9718342038706199
ENSGACG00000003574,rpl35,10.92591030082049,0.04524734434246458,1
ENSGACG00000010458,BRK1,1.2528686827688853,0.07716993296278307,1
ENSGACG00000006059,RPL19,5.016075090738225,0.051061958059545276,1
ENSGACG00000004038,psma3,1.139486647667868,0.03216403819916003,1
ENSGACG00000012607,ENSGACG00000012607,1.1505948331948357,0.08804249914887241,1
ENSGACG00000008021,uba52,8.97350643958818,0.07721362957260958,1
ENSGACG00000008265,rpl14,8.766602458661632,0.04900962068735204,1
ENSGACG00000015245,naca,6.337500352870516,0.01605324138703068,1
ENSGACG00000006447,ybx1,4.143914221029955,0.011660265609216403,1
ENSGACG00000013304,ENSGACG00000013304,2.6834122320221456,0.03498574517043718,1
ENSGACG00000013073,rpl10,9.321562919433163,0.08822492706278418,1
ENSGACG00000015549,rps15,2.4106445651932757,0.04241269908652612,1
ENSGACG00000016489,rps8a,12.075158687284784,0.01237641820872648,1
ENSGACG00000002035,rpl8,15.75555862132582,0.03630081014111575,1
ENSGACG00000018720,rps4x,5.35577238046443,0.02099977100048811,1
ENSGACG00000020072,eif4a1b,2.048787006360242,0.031191754757397216,1
ENSGACG00000020625,rpl23a,10.23327566185109,0.02116815782059689,1
ENSGACG00000011913,rps7,13.986776432971109,0.0021693056546516765,1
ENSGACG00000013530,hsp90ab1,8.285247752493039,0.08924149320742858,1
ENSGACG00000020929,mt-nd2,4.7932381568336035,0.010967209163454505,1
ENSGACG00000020940,ENSGACG00000020940,14.880424348420938,0.016724742004928128,1
ENSGACG00000013384,rps3,8.895749140899406,0.05221509069876351,1
ENSGACG00000015402,eef1b2,5.335743985347625,0.007359085144821087,1
ENSGACG00000009280,ENSGACG00000009280,5.879596260592187,0.06615862058863309,1
ENSGACG00000009661,NDUFA4,1.6846853696429722,0.06819487120195111,1
ENSGACG00000007990,RPS17,2.365931313349876,0.05993164189961053,1
