FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000009846,arpc4,1.3531451428819876,0.20992940556106665,1,1.1710928966305065,-0.20992940556106665,1
ENSGACG00000010218,gata1a,1.7348014652333177,0.4887159807376832,1,1.2376322657572398,-0.4887159807376832,1
ENSGACG00000010458,BRK1,1.3566147458124544,0.1815532431366239,1,1.1977086442811997,-0.1815532431366239,1
ENSGACG00000005090,ENSGACG00000005090,1.311509907716388,-0.5784764430709578,1,1.9695653261513062,0.5784764430709578,1
ENSGACG00000003288,rpl38,2.199728257915847,-0.2441057991999691,1,2.6216511435932928,0.2441057991999691,1
ENSGACG00000006059,RPL19,3.6569614887118336,-0.1397225198779919,1,4.0589015167307325,0.1397225198779919,1
ENSGACG00000008037,zgc:56095,3.8720768704007646,0.1502029602528656,1,3.513278689891519,-0.1502029602528656,1
ENSGACG00000008983,ENSGACG00000008983,0.73208621832846,-1.1399560115559286,1,1.623560606692293,1.1399560115559286,1
ENSGACG00000014492,hbae5,10.374112762095239,-0.4151233782140209,1,13.95995964278865,0.4151233782140209,1
ENSGACG00000016153,rpl9,7.077989978151936,-0.16152267445835422,1,7.984724295207998,0.16152267445835422,1
ENSGACG00000016482,hmgb2a,2.654246241806976,-0.48881962168681325,1,3.7528204187477594,0.48881962168681325,1
ENSGACG00000019181,rps15a,8.86830509027272,-0.25078394794694914,1,10.64629906027733,0.25078394794694914,1
ENSGACG00000019097,prdx2,4.559058250633159,0.22116600259901098,1,3.9391306523026124,-0.22116600259901098,1
ENSGACG00000018028,spock3,1.5370340981967194,0.19662856359872238,1,1.344095256360013,-0.19662856359872238,1
ENSGACG00000017861,rps6,6.290390112936009,-0.019266457525960234,1,6.4277030576424385,0.019266457525960234,1
ENSGACG00000017164,rps3a,7.980086740073261,-0.1126677889806107,1,8.703349481776717,0.1126677889806107,1
ENSGACG00000016657,arpc1b,3.5494037978673676,0.33992841899427395,1,2.8212692509734927,-0.33992841899427395,1
ENSGACG00000016593,actb1,5.707496820617615,0.6096395401370558,1,3.766128292573106,-0.6096395401370558,1
ENSGACG00000004038,psma3,1.0304720703485906,-0.14913693616645451,1,1.1444771489798131,0.14913693616645451,1
ENSGACG00000004818,ENSGACG00000004818,1.8041935238426503,0.8903242358696706,1,0.9714747892503065,-0.8903242358696706,1
ENSGACG00000006204,ENSGACG00000006204,2.064413743627648,0.693893717495146,1,1.2775558872332797,-0.693893717495146,1
ENSGACG00000006710,ENSGACG00000006710,1.4294764073522537,0.3383712559374594,1,1.1311692751544664,-0.3383712559374594,1
ENSGACG00000006713,ENSGACG00000006713,0.73208621832846,-1.1163047434912832,1,1.5969448590415998,1.1163047434912832,1
ENSGACG00000009310,rpl13a,10.093074924727441,-0.1362349460506378,1,11.191921887116544,0.1362349460506378,1
ENSGACG00000012607,ENSGACG00000012607,1.759088685746584,0.33540227142907875,1,1.3973267516613996,-0.33540227142907875,1
ENSGACG00000012635,ENSGACG00000012635,0.9541408058783247,-0.4167503461888466,1,1.2775558872332797,0.4167503461888466,1
ENSGACG00000001954,ENSGACG00000001954,1.1588473787758562,0.07033790178648669,1,1.104553527503773,-0.07033790178648669,1
ENSGACG00000002088,rpl36,5.710966423548082,-0.08836006148287101,1,6.121621959659465,0.08836006148287101,1
ENSGACG00000002136,zgc:171480,1.0963945260274568,0.19315251047950208,1,0.9581669154249598,-0.19315251047950208,1
ENSGACG00000004230,RPL5,4.222506766377895,-0.32252196932847577,1,5.323149530138665,0.32252196932847577,1
ENSGACG00000004588,boka,1.0790465113751235,0.038112163194997994,1,1.0513220322023864,-0.038112163194997994,1
ENSGACG00000007843,ptprc,1.1345601582625897,0.11026194895083319,1,1.0513220322023864,-0.11026194895083319,1
ENSGACG00000008021,uba52,6.234876466048544,-0.13555246829389533,1,6.906786515354918,0.13555246829389533,1
ENSGACG00000011294,tpm4a,1.2802834813421884,0.11416640340674966,1,1.184400770455853,-0.11416640340674966,1
ENSGACG00000012793,ENSGACG00000012793,2.0470657289753147,-0.13620015548825348,1,2.262338550308933,0.13620015548825348,1
ENSGACG00000014467,serbp1a,1.4190675985608538,-0.0913719122188168,1,1.5170976160895198,0.0913719122188168,1
ENSGACG00000000151,ENSGACG00000000151,1.2664050696203217,-0.1101018406369374,1,1.3707110040107064,0.1101018406369374,1
ENSGACG00000001834,ENSGACG00000001834,0.8743399384775921,-0.36863314078767584,1,1.1311692751544664,0.36863314078767584,1
ENSGACG00000002118,rpl11,4.3092468396395605,-0.2269519616523601,1,5.083607801282426,0.2269519616523601,1
ENSGACG00000002182,ENSGACG00000002182,12.16789747714649,0.053409545811085035,1,11.830699830733185,-0.053409545811085035,1
ENSGACG00000002835,rps5,8.896061913716453,-0.08644815898737601,1,9.528437658948212,0.08644815898737601,1
