FeatureID,FeatureName,GOS Average,GOS Log2 Fold Change,GOS P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000013435,rpl17,13.25092677795561,-0.21938789961450045,1,15.428141138817233,0.21938789961450045,1
ENSGACG00000003476,rps19,7.830124556751728,-0.23779141454092656,1,9.23371057690608,0.23779141454092656,1
ENSGACG00000013157,rbm8a,2.0428367921199264,-0.07307205692355567,1,2.149055196575185,0.07307205692355567,1
ENSGACG00000011547,rpl18,7.6048345767974554,-0.19715631570699088,1,8.718954729520515,0.19715631570699088,1
ENSGACG00000010761,rps9,8.003504403075985,-0.24699238248207456,1,9.498557507011908,0.24699238248207456,1
ENSGACG00000010464,zgc:92606,1.0959959547084206,-0.27281746551086994,1,1.3242346505291391,0.27281746551086994,1
ENSGACG00000005864,gapdhs,1.1129532650275593,0.30125169260428486,1,0.9031441808639282,-0.30125169260428486,1
ENSGACG00000004699,rpl35a,8.428475363727054,-0.34271665457927636,1,10.689157502258992,0.34271665457927636,1
ENSGACG00000006818,rps25,11.229892241960293,-0.06471293008557977,1,11.745719112147636,0.06471293008557977,1
ENSGACG00000012552,blvrb,1.1565577772767734,-0.20619757674697026,1,1.33432790243866,0.20619757674697026,1
ENSGACG00000013384,rps3,7.160483832924512,-0.161084030937944,1,8.006774874784723,0.161084030937944,1
ENSGACG00000015169,rpl31,13.536432512920703,-0.24218003672120236,1,16.01153109918754,0.24218003672120236,1
ENSGACG00000015628,ENSGACG00000015628,4.811031184829953,0.2216056620425051,1,4.126121380612135,-0.2216056620425051,1
ENSGACG00000015402,eef1b2,4.817606468423088,-0.25128655853227944,1,5.734582004913382,0.25128655853227944,1
ENSGACG00000015475,atp6v1g1,1.2344229777217985,0.06837602195006731,1,1.1772769027265153,-0.06837602195006731,1
ENSGACG00000000860,ENSGACG00000000860,6.009463136568273,-0.11886222558385207,1,6.5258929546198186,0.11886222558385207,1
ENSGACG00000015834,btf3,1.3998432702227852,-0.1802871996597457,1,1.5862554701003013,0.1802871996597457,1
ENSGACG00000015892,nsa2,1.1226431566384958,-0.020242394771130545,1,1.1385188153939552,0.020242394771130545,1
ENSGACG00000015957,RPL7A,11.256193376332835,-0.14035809863306303,1,12.407028977259444,0.14035809863306303,1
ENSGACG00000016089,rpl28,9.06800821004886,-0.20357989633879914,1,10.442882155666682,0.20357989633879914,1
ENSGACG00000000474,rpl23,16.143705491377677,-0.2385219657184301,1,19.04717754349504,0.2385219657184301,1
ENSGACG00000006018,rpsa,9.102961033359739,0.014487291499746036,1,9.012466495049383,-0.014487291499746036,1
ENSGACG00000009280,ENSGACG00000009280,3.996734221953757,-0.06677724958186548,1,4.186277161992879,0.06677724958186548,1
ENSGACG00000011905,rps2,11.156871987320736,-0.129956015948685,1,12.209201239832835,0.129956015948685,1
ENSGACG00000013902,ENSGACG00000013902,77.18275522156918,0.2904378175244533,1,63.11229673008129,-0.2904378175244533,1
ENSGACG00000013918,HBE1,218.6953165779154,0.1880448417607976,1,191.98051473038558,-0.1880448417607976,1
ENSGACG00000014154,si:dkey-159f12.2,12.0805262983775,-0.16372036512225518,1,13.533032160285593,0.16372036512225518,1
ENSGACG00000014635,rpl27,9.664974746794053,-0.3266064836742326,1,12.121188083181814,0.3266064836742326,1
ENSGACG00000014559,rpl3,5.329786453572588,-0.03700340619508591,1,5.468523884578412,0.03700340619508591,1
ENSGACG00000015484,fth1b,83.30399817922076,0.2625494489815301,1,69.44722535857298,-0.2625494489815301,1
ENSGACG00000015499,rplp2l,4.062833125442645,-0.08209410272771933,1,4.300936503685037,0.08209410272771933,1
ENSGACG00000015752,rpl13,8.16892469557697,-0.1354787526287291,1,8.973708407716822,0.1354787526287291,1
ENSGACG00000015943,cyba,2.3034256629426104,0.2851849231470427,1,1.8902642176150701,-0.2851849231470427,1
ENSGACG00000015963,cox4i1,1.2631465849970744,0.16422188808287486,1,1.1272143732552917,-0.16422188808287486,1
ENSGACG00000017042,rps17,7.5902997393810505,-0.21902765756297615,1,8.835228991518196,0.21902765756297615,1
